item	type	count
WORD/security	word	306867
WORD/1978	word	306621
WORD/traditional	word	306157
WORD/mountain	word	306156
WORD/put	word	305970
WORD/mount	word	305752
WORD/staff	word	305692
WORD/baseball	word	305259
WORD/possible	word	305106
WORD/executive	word	304938
WORD/1974	word	304792
WORD/1945	word	304509
WORD/scored	word	304426
WORD/angeles	word	303372
WORD/interest	word	303211
WORD/decided	word	303184
WORD/male	word	302483
WORD/person	word	302388
WORD/goal	word	302359
WORD/money	word	302099
WORD/1975	word	300946
WORD/command	word	300905
WORD/sound	word	300684
WORD/irish	word	300619
WORD/mexico	word	300364
WORD/1968	word	300218
WORD/regular	word	299715
WORD/runs	word	298847
WORD/manager	word	298689
WORD/defeated	word	298672
WORD/brought	word	298528
WORD/1970	word	297794
WORD/annual	word	297376
WORD/contains	word	297147
WORD/musical	word	296413
WORD/1977	word	296347
WORD/especially	word	296250
WORD/lord	word	296037
WORD/date	word	295993
WORD/article	word	295856
WORD/taking	word	295759
WORD/running	word	295573
WORD/report	word	295276
WORD/prince	word	295100
WORD/plays	word	295061
WORD/mary	word	294816
WORD/islands	word	294592
WORD/lived	word	294028
WORD/here	word	293952
WORD/strong	word	293688
WORD/stations	word	293679
WORD/italy	word	293577
WORD/1971	word	293471
WORD/1973	word	292009
WORD/pennsylvania	word	291938
WORD/attended	word	291113
WORD/generally	word	290914
WORD/changed	word	290488
WORD/florida	word	290196
WORD/journal	word	289551
WORD/towards	word	288591
WORD/refer	word	288303
WORD/our	word	288043
WORD/movie	word	287895
WORD/wales	word	287729
WORD/location	word	287451
WORD/k	word	287406
WORD/itself	word	286438
WORD/2nd	word	286262
WORD/associated	word	286050
WORD/past	word	285913
WORD/course	word	285822
WORD/complete	word	285378
WORD/highest	word	285185
WORD/contract	word	285161
WORD/additional	word	284938
WORD/plant	word	284767
WORD/plan	word	284757
WORD/structure	word	283825
WORD/commercial	word	283747
WORD/joseph	word	283327
WORD/louis	word	283013
WORD/peak	word	281807
WORD/1969	word	281782
WORD/greek	word	281753
WORD/test	word	281622
WORD/means	word	281601
WORD/property	word	281176
WORD/view	word	280696
WORD/issue	word	280159
WORD/carolina	word	280118
WORD/wide	word	279757
WORD/famous	word	279279
WORD/prime	word	279211
WORD/significant	word	278753
WORD/seat	word	278462
WORD/room	word	278309
WORD/initially	word	278217
WORD/engine	word	277817
WORD/access	word	277552
WORD/policy	word	277226
WORD/find	word	276384
WORD/income	word	276124
WORD/allowed	word	275233
WORD/required	word	275184
WORD/opening	word	275010
WORD/whom	word	274463
WORD/nine	word	274305
WORD/vocals	word	274016
WORD/1967	word	273418
WORD/closed	word	273259
WORD/practice	word	273226
WORD/winter	word	272747
WORD/length	word	272690
WORD/launched	word	272628
WORD/prize	word	272376
WORD/represented	word	271452
WORD/ended	word	271242
WORD/cultural	word	271222
WORD/better	word	270737
WORD/highway	word	270094
WORD/met	word	269915
WORD/anti	word	269700
WORD/characters	word	269644
WORD/cover	word	269540
WORD/stone	word	269436
WORD/congress	word	269111
WORD/engineering	word	268849
WORD/earlier	word	268788
WORD/tracks	word	268765
WORD/issues	word	268617
WORD/hockey	word	268513
WORD/individual	word	268397
WORD/1964	word	267434
WORD/le	word	267423
WORD/youth	word	267377
WORD/religious	word	267335
WORD/mission	word	267164
WORD/victory	word	267123
WORD/financial	word	267073
WORD/bishop	word	266998
WORD/older	word	266690
WORD/birth	word	266685
WORD/programs	word	266129
WORD/numerous	word	266008
WORD/theory	word	265480
WORD/mr	word	264775
WORD/edward	word	264446
WORD/democratic	word	264330
WORD/feature	word	264080
WORD/el	word	263989
WORD/lines	word	263910
WORD/martin	word	263793
WORD/justice	word	263670
WORD/heart	word	263652
WORD/chairman	word	263388
WORD/rural	word	263355
WORD/pacific	word	263077
WORD/dance	word	262905
WORD/iii	word	262828
WORD/results	word	262522
WORD/silver	word	262088
WORD/online	word	261944
WORD/noted	word	261514
WORD/spent	word	261349
WORD/page	word	261279
WORD/structures	word	261263
WORD/port	word	261226
WORD/personal	word	260896
WORD/word	word	260362
WORD/fort	word	260117
WORD/names	word	259426
WORD/recording	word	259176
WORD/1966	word	259160
WORD/move	word	258958
WORD/castle	word	258949
WORD/appearance	word	258599
WORD/1965	word	258274
WORD/month	word	258168
WORD/ice	word	258068
WORD/finally	word	257624
WORD/complex	word	257225
WORD/township	word	256699
WORD/forest	word	256577
WORD/1960	word	256529
WORD/selected	word	256279
WORD/text	word	256038
WORD/administration	word	255219
WORD/stadium	word	254456
WORD/overall	word	254386
WORD/operated	word	253779
WORD/upper	word	253249
WORD/jewish	word	253135
WORD/give	word	253058
WORD/legal	word	252879
WORD/computer	word	252864
WORD/going	word	252794
WORD/your	word	252452
WORD/retired	word	251967
WORD/ran	word	251571
WORD/seasons	word	251560
WORD/sister	word	251443
WORD/et	word	251366
WORD/loss	word	251319
WORD/champion	word	251240
WORD/friends	word	251224
WORD/hours	word	251160
WORD/god	word	251134
WORD/key	word	251068
WORD/fact	word	250927
WORD/shot	word	250911
WORD/already	word	250854
WORD/fall	word	250781
WORD/source	word	250567
WORD/wing	word	250346
WORD/goals	word	250303
WORD/rest	word	250297
WORD/editor	word	249759
WORD/regiment	word	249610
WORD/nature	word	249284
WORD/train	word	249234
WORD/activities	word	249214
WORD/entered	word	249018
WORD/shown	word	248701
WORD/footballer	word	247572
