item	type	count
WORD/relations	word	75672
WORD/reçu	word	75582
WORD/associé	word	75275
WORD/françaises	word	75256
WORD/peuple	word	75253
WORD/moteur	word	75229
WORD/régime	word	75183
WORD/1959	word	75161
WORD/puisque	word	74986
WORD/principe	word	74892
WORD/néanmoins	word	74888
WORD/or	word	74815
WORD/semaine	word	74808
WORD/social	word	74779
WORD/train	word	74700
WORD/world	word	74673
WORD/nations	word	74568
WORD/1920	word	74549
WORD/techniques	word	74491
WORD/faible	word	74439
WORD/théorie	word	74396
WORD/sport	word	74339
WORD/derrière	word	74316
WORD/scientifique	word	74310
WORD/textes	word	74306
WORD/publie	word	73921
WORD/réponse	word	73852
WORD/fonctions	word	73761
WORD/structure	word	73656
WORD/anne	word	73640
WORD/pied	word	73639
WORD/latin	word	73637
WORD/justice	word	73599
WORD/royale	word	73514
