item	type	count
WORD/christian	word	143871
WORD/schauspieler	word	143744
WORD/main	word	143509
WORD/arbeiten	word	143341
WORD/zuvor	word	142964
WORD/carl	word	142558
WORD/schriftsteller	word	142508
WORD/ursprünglich	word	142481
WORD/team	word	142174
WORD/buch	word	142088
WORD/teilweise	word	141935
WORD/reihe	word	141671
WORD/johannes	word	141623
WORD/internationalen	word	141492
WORD/zog	word	141457
WORD/millionen	word	141355
WORD/1961	word	140851
WORD/1962	word	140740
WORD/betrieb	word	140624
WORD/sieben	word	140364
WORD/erster	word	140254
WORD/1946	word	140151
WORD/gemeinden	word	139973
WORD/joseph	word	139713
WORD/ich	word	139137
WORD/habe	word	139026
WORD/bevölkerung	word	138697
WORD/präsident	word	138433
WORD/fc	word	138423
WORD/pro	word	138385
WORD/f	word	138069
WORD/1950	word	137784
WORD/sitz	word	137780
WORD/veröffentlicht	word	137552
WORD/amerikanischen	word	137527
WORD/darüber	word	137389
WORD/1956	word	137216
WORD/somit	word	137004
WORD/kleinen	word	136656
WORD/zwar	word	136358
WORD/spieler	word	136047
WORD/kategorie	word	135721
WORD/baden	word	135093
WORD/van	word	134777
WORD/graf	word	134548
WORD/1958	word	134362
WORD/häufig	word	134110
WORD/geboren	word	133649
WORD/geht	word	133539
WORD/folgte	word	132775
WORD/berliner	word	132763
WORD/zehn	word	132628
WORD/prozent	word	132521
WORD/1959	word	132483
WORD/weg	word	132457
WORD/1952	word	131763
WORD/kein	word	131693
WORD/acht	word	131644
WORD/amerikanische	word	131626
WORD/o	word	131286
WORD/kaiser	word	131262
WORD/aller	word	130810
WORD/akademie	word	130680
WORD/zeigt	word	130397
WORD/1940	word	130230
WORD/meister	word	130117
WORD/san	word	130000
WORD/1957	word	129994
WORD/ihnen	word	129710
WORD/1949	word	129667
WORD/bad	word	129621
WORD/lassen	word	129418
WORD/chr	word	129129
WORD/meisten	word	128986
WORD/arten	word	128909
WORD/mutter	word	128677
WORD/r	word	128650
WORD/bayern	word	128480
WORD/1955	word	128442
WORD/etwas	word	128278
WORD/richard	word	127808
WORD/al	word	127653
WORD/bd	word	127575
WORD/hermann	word	127420
WORD/tag	word	127086
WORD/sommer	word	127039
WORD/möglich	word	126681
WORD/1942	word	126576
WORD/1948	word	126562
WORD/david	word	126478
WORD/1941	word	125989
WORD/1943	word	125863
WORD/sachsen	word	125390
WORD/g	word	125234
WORD/dafür	word	125146
WORD/roman	word	125134
WORD/werke	word	125079
WORD/gehören	word	125011
WORD/1953	word	124768
WORD/west	word	124100
WORD/1954	word	124065
WORD/hin	word	124060
WORD/x	word	123989
WORD/stellte	word	123932
WORD/on	word	123929
WORD/hinter	word	123703
WORD/lag	word	123479
WORD/armee	word	123255
WORD/reich	word	123040
WORD/online	word	122999
WORD/weiterleitung	word	122878
WORD/strecke	word	122694
WORD/sehen	word	122681
WORD/pdf	word	122584
WORD/europäischen	word	122247
WORD/bahnhof	word	122198
WORD/ehe	word	122170
WORD/ebenso	word	122112
WORD/befinden	word	122039
WORD/letzte	word	122039
WORD/sprache	word	121917
WORD/besuchte	word	121666
WORD/wasser	word	121435
WORD/eigene	word	121126
WORD/hinaus	word	121045
WORD/mitglieder	word	120984
WORD/benannt	word	120977
WORD/setzte	word	120955
WORD/dr	word	120933
WORD/stehen	word	120883
WORD/folgende	word	120879
WORD/kamen	word	120850
WORD/walter	word	120682
WORD/wolfgang	word	120622
WORD/theater	word	120215
WORD/1918	word	120128
WORD/alte	word	120085
WORD/dritten	word	120066
WORD/rechts	word	119974
WORD/vielen	word	119903
WORD/jean	word	119877
WORD/40	word	119798
WORD/institut	word	119694
WORD/direkt	word	119605
WORD/1947	word	119536
WORD/gleichen	word	119489
WORD/²	word	119455
WORD/einigen	word	119447
WORD/1936	word	119440
WORD/machte	word	119196
WORD/dadurch	word	118971
WORD/gelang	word	118557
WORD/1934	word	118261
WORD/william	word	118111
WORD/bruder	word	118074
WORD/bezeichnung	word	118003
WORD/entstanden	word	117782
WORD/di	word	117659
WORD/genutzt	word	117638
WORD/schrieb	word	117515
WORD/liga	word	117003
WORD/alexander	word	116956
WORD/südlich	word	116786
WORD/handelt	word	116639
WORD/republik	word	116598
WORD/weiterhin	word	116576
WORD/erreicht	word	116419
WORD/1930	word	116287
WORD/aufgenommen	word	116270
WORD/linie	word	115954
WORD/obwohl	word	115542
WORD/karriere	word	115536
WORD/max	word	115474
WORD/1951	word	115215
WORD/1920	word	115157
WORD/stelle	word	115068
WORD/kloster	word	114918
WORD/recht	word	114833
WORD/general	word	114780
WORD/vertrag	word	114670
WORD/deutlich	word	114444
WORD/nähe	word	114259
WORD/ehemalige	word	114239
WORD/1937	word	114223
WORD/city	word	114193
WORD/gmbh	word	113974
WORD/maler	word	113953
WORD/österreichischer	word	113813
WORD/american	word	113762
WORD/nördlich	word	113554
WORD/lässt	word	113361
WORD/französische	word	113097
WORD/gleichzeitig	word	112835
WORD/weniger	word	112746
WORD/kommen	word	112741
WORD/artikel	word	112701
WORD/grund	word	112640
WORD/1935	word	112637
WORD/französischer	word	112177
WORD/gründete	word	112056
WORD/zürich	word	111547
WORD/enthält	word	111076
WORD/landes	word	110989
WORD/system	word	110888
WORD/ganz	word	110727
WORD/1914	word	110619
WORD/italien	word	110448
WORD/olympischen	word	109913
WORD/ziel	word	109801
WORD/l	word	109493
WORD/1919	word	109319
WORD/erwähnt	word	109268
WORD/stellt	word	108866
WORD/england	word	108698
WORD/1928	word	108616
WORD/studium	word	108599
WORD/mehreren	word	108239
WORD/hohen	word	108196
WORD/world	word	108158
WORD/folgen	word	108003
WORD/n	word	107970
WORD/1929	word	107730
WORD/liegen	word	107725
WORD/seiten	word	107686
WORD/literatur	word	107389
WORD/hannover	word	107070
WORD/josef	word	106830
WORD/fall	word	106658
WORD/raum	word	106620
WORD/website	word	106544
WORD/macht	word	106496
WORD/teile	word	106378
WORD/veröffentlichte	word	106311
WORD/ob	word	106174
WORD/league	word	106043
WORD/james	word	105970
WORD/zeitschrift	word	105876
WORD/george	word	105858
WORD/daraufhin	word	105807
WORD/w	word	105634
WORD/1932	word	105555
WORD/autor	word	105229
WORD/dresden	word	104898
WORD/see	word	104703
WORD/fernsehserie	word	104392
WORD/wiener	word	104371
WORD/schauspielerin	word	104362
WORD/press	word	104110
WORD/erfolg	word	103925
WORD/britischen	word	103822
WORD/1900	word	103739
WORD/stammt	word	103717
WORD/verbindung	word	103308
WORD/p	word	103201
WORD/komponist	word	103164
WORD/gebaut	word	103030
WORD/welches	word	102953
WORD/herzog	word	102431
WORD/spiele	word	102394
WORD/nachfolger	word	102322
WORD/ag	word	102309
WORD/wenig	word	102300
WORD/t	word	102193
WORD/nahe	word	102186
WORD/award	word	102143
WORD/größten	word	101988
WORD/park	word	101973
WORD/1925	word	101967
WORD/gewesen	word	101729
WORD/rudolf	word	101547
WORD/einmal	word	101547
WORD/version	word	101531
WORD/ernannt	word	101241
WORD/truppen	word	101222
WORD/absolvierte	word	100695
WORD/tage	word	100328
WORD/heiligen	word	100324
WORD/zentrum	word	100158
WORD/kultur	word	99814
WORD/ihres	word	99800
WORD/entwickelte	word	99736
WORD/verheiratet	word	99672
WORD/gründung	word	99669
WORD/1927	word	99603
WORD/begriff	word	99577
WORD/künstler	word	99546
WORD/umfasst	word	99044
WORD/charles	word	98958
WORD/division	word	98952
WORD/rom	word	98819
WORD/besitz	word	98745
WORD/politischen	word	98649
WORD/produktion	word	98326
WORD/trotz	word	98288
WORD/lediglich	word	98183
WORD/bisher	word	97906
WORD/spielt	word	97876
WORD/ausbildung	word	97790
WORD/lage	word	97681
WORD/k	word	97495
WORD/österreichischen	word	97100
WORD/sogar	word	96819
WORD/frühen	word	96760
WORD/bildet	word	96338
WORD/länge	word	96269
WORD/1924	word	96244
WORD/diente	word	96208
WORD/1931	word	96184
WORD/kanton	word	96127
WORD/hälfte	word	96018
WORD/größte	word	95861
WORD/1910	word	95777
WORD/zusätzlich	word	95747
WORD/politische	word	95505
WORD/euro	word	95453
WORD/kehrte	word	95441
WORD/thumb	word	95432
WORD/schlacht	word	95174
WORD/1926	word	95098
WORD/iv	word	94959
WORD/weltmeisterschaft	word	94914
WORD/einzige	word	94807
WORD/selben	word	94806
WORD/befand	word	94785
WORD/einwohnern	word	94615
WORD/bevor	word	94581
WORD/männer	word	94558
WORD/bahn	word	94555
